ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
447690,아이오바이오,KONEX,일반기업부,3160,-115,-3.51,3150,3160,2830,0,516210,8102451720,3
78860,아이오케이,KOSDAQ,중견기업부,474,0,0,473,478,465,0,74814777,45563947728,96
90150,아이윈,KOSDAQ,중견기업부,2100,-35,-1.64,2135,2140,2035,1,2152131750,86911280400,41
123010,아이윈플러스,KOSDAQ,기술성장기업부,2350,130,5.86,2220,2460,2200,1,2113725000,73917689600,31
31310,아이즈비전,KOSDAQ,중견기업부,3480,0,0,3550,3550,3440,0,1157279830,57210845040,16
185490,아이진,KOSDAQ,벤처기업부,6870,10,0.15,6860,7000,6730,0,268663480,1.48E+11,21
59100,아이컴포넌트,KOSDAQ,벤처기업부,7700,-70,-0.9,7770,7780,7660,0,106921750,54445622000,7
149010,아이케이세미콘,KONEX,일반기업부,7470,0,0,7670,7670,7470,0,22610,23306400000,3
262840,아이퀘스트,KOSDAQ,벤처기업부,7890,-120,-1.5,8030,8030,7860,0,172400490,77795400000,10
175250,아이큐어,KOSDAQ,기술성장기업부,2830,25,0.89,2810,2860,2760,0,552402495,1.06E+11,38
52460,아이크래프트,KOSDAQ,중견기업부,3960,-40,-1,3960,3960,3880,0,1465278825,57847426560,15
119830,아이텍,KOSDAQ,중견기업부,9050,-40,-0.44,9090,9150,9040,0,790692390,1.82E+11,20
52770,아이톡시,KOSDAQ,관리종목(소속부없음),2085,0,0,0,0,0,0,0,45940750305,22
124500,아이티센,KOSDAQ,중견기업부,4230,-30,-0.7,4260,4260,4195,0,283286280,84208018590,20
372800,아이티아이즈,KOSDAQ,벤처기업부,10280,-270,-2.56,10510,10690,10210,0,507171000,61443457200,6
84850,아이티엠반도체,KOSDAQ GLOBAL,우량기업부,28050,-50,-0.18,28150,28650,27950,0,226375200,6.36E+11,23
114840,아이패밀리에스씨,KOSDAQ,벤처기업부,13850,680,5.16,13270,13920,13250,0,1517192570,1.18E+11,9
27360,아주IB투자,KOSDAQ,벤처기업부,2635,-35,-1.31,2675,2680,2610,0,330242245,3.18E+11,121
139990,아주스틸,KOSPI,,10100,10,0.1,10090,10210,10020,0,225939300,2.67E+11,26
32080,아즈텍WB,KOSDAQ,벤처기업부,2165,-20,-0.92,2185,2190,2150,0,94348620,46528077785,21
13310,아진산업,KOSDAQ,우량기업부,2715,-10,-0.37,2730,2740,2705,0,421108625,1.05E+11,39
59120,아진엑스텍,KOSDAQ,벤처기업부,10110,70,0.7,10080,10240,9910,0,1720969990,98558305560,10
158430,아톤,KOSDAQ,벤처기업부,26450,50,0.19,26750,27050,26450,0,656209250,1.15E+11,4
149300,아퓨어스,KONEX,일반기업부,1020,-30,-2.86,1039,1040,1000,0,1648760,37074589740,36
67160,아프리카TV,KOSDAQ,우량기업부,88900,-500,-0.56,89600,90400,87300,0,13120063200,1.02E+12,11
102950,아하,KONEX,일반기업부,4905,110,2.29,4800,4975,4785,0,12210245,62548084215,13
1540,안국약품,KOSDAQ,중견기업부,9110,-60,-0.65,9190,9190,9110,0,78259530,1.19E+11,13
53800,안랩,KOSDAQ,우량기업부,94300,-1700,-1.77,96300,96400,92600,0,30517966800,9.44E+11,10
251280,안지오랩,KONEX,일반기업부,7970,0,0,0,0,0,0,0,22056608380,3
65660,안트로젠,KOSDAQ,기술성장기업부,14820,80,0.54,14670,14860,14550,0,177517610,1.44E+11,10
297570,알로이스,KOSDAQ,벤처기업부,1925,-5,-0.26,1948,1948,1921,0,720346871,66645844650,35
